satno,cosparId,name,objectClass,mass,shape,width,height,depth,diameter,span,xSectMax,xSectMin,xSectAvg,firstEpoch,mission,predDecayDate,active,cataloguedFragments,onOrbitCataloguedFragments
45709.0,2020-035BE,Starlink 1421,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2020-06-11,Commercial Communications,,,0,0
59597.0,1998-067WQ,Big Red Sat 1,Payload,1.0,Box,0.1,0.1,0.1,,0.1,0.017320508075688777,0.010000000000000002,0.015000000000000003,2024-04-26,Amateur Technology,,,0,0
43668.0,2018-083G,Tianqi-1,Payload,8.0,Box,0.2,0.3,0.2,,0.3,0.09380831519646861,0.04000000000000001,0.08,2018-10-29,Commercial Communications,,,0,0
59596.0,1998-067WP,VIOLET,Payload,2.0,Box,0.1,0.2,0.1,,0.2,0.030000000000000006,0.010000000000000002,0.025000000000000005,2024-04-26,Amateur Earth Obs Sci,,,0,0
56989.0,2023-084BR,Pleiades Squared,Payload,1.0,Box,0.1,0.1,0.1,,0.1,0.017320508075688777,0.010000000000000002,0.015000000000000003,2023-06-20,Amateur Technology,,,0,0
54069.0,2022-136U,Starlink 5223,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2022-10-25,Commercial Communications,,,0,0
47599.0,2021-009BD,Starlink 2004,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2021-02-11,Commercial Communications,,,0,0
51056.0,2022-002CA,Flock 4x-24,Payload,5.0,Box + 2 Pan,0.1,0.3,0.1,,0.3,0.1911,0.018,0.1076,2022-01-18,Commercial Imaging,,,0,0
51042.0,2022-002BL,Flock 4x-34,Payload,5.0,Box + 2 Pan,0.1,0.3,0.1,,0.3,0.1911,0.018,0.1076,2022-01-18,Commercial Imaging,,,0,0
47527.0,2021-006DT,Flock 4s-7,Payload,5.0,Box + 2 Pan,0.1,0.3,0.1,,0.3,0.1911,0.018,0.1076,2021-01-27,Commercial Imaging,,,0,0
47801.0,2021-018Q,Starlink 2382,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2021-03-17,Commercial Communications,,,0,0
53549.0,2022-101Y,Starlink 4516,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2022-08-24,Commercial Communications,,,0,0
44939.0,2020-001AB,Starlink 1083,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2020-01-13,Commercial Communications,,,0,0
47999.0,2021-024Y,Starlink 2218,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2021-03-30,Commercial Communications,,,0,0
47687.0,2021-006EN,Flock 4s-43,Payload,5.0,Box + 2 Pan,0.1,0.3,0.1,,0.3,0.1911,0.018,0.1076,2021-02-17,Commercial Imaging,,,0,0
51023.0,2022-002AR,Flock 4x-38,Payload,5.0,Box + 2 Pan,0.1,0.3,0.1,,0.3,0.1911,0.018,0.1076,2022-01-18,Commercial Imaging,,,0,0
58780.0,2024-011R,Starlink 31103,Payload,730.0,Box + 2 Pan,4.1,0.3,2.7,,29.0,92.83994369451119,0.81,33.88386666666666,2024-01-21,Commercial Communications,,,0,0
41842.0,2016-066B,Xiaoxiang-1,Payload,8.0,Box,0.2,0.3,0.3,,0.3,0.12369316876852982,0.06,0.105,2016-11-13,Amateur Technology,,,0,0
56220.0,2023-054AU,LLITED A,Payload,2.0,Box,0.1,0.15,0.1,,0.15,0.023452078799117152,0.010000000000000002,0.02,2023-05-18,Defense Technology,,,0,0
44835.0,2019-079D,Cosmos-2543,Payload,100.0,Hex Cyl + 1 Ant,,1.0,,0.4,,0.4133,0.1039,0.352,2019-12-06,Defense Technology,,,0,0
47471.0,2021-006BL,Flock 4s-12,Payload,5.0,Box + 2 Pan,0.1,0.3,0.1,,0.3,0.1911,0.018,0.1076,2021-01-24,Commercial Imaging,,,0,0
51002.0,2022-002U,Kepler-18,Payload,15.0,Box + 2 Pan,0.2,0.36,0.1,,1.08,0.3774,0.027,0.1963,2022-01-18,Commercial Communications,,,0,0
48409.0,2021-038BJ,Starlink 2596,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2021-05-12,Commercial Communications,,,0,0
45103.0,2020-006BM,Starlink 1196,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2020-02-08,Commercial Communications,,,0,0
47539.0,2021-006DZ,Flock 4s-24,Payload,5.0,Box + 2 Pan,0.1,0.3,0.1,,0.3,0.1911,0.018,0.1076,2021-02-01,Commercial Imaging,,,0,0
47492.0,2021-006CH,Flock 4s-17,Payload,5.0,Box + 2 Pan,0.1,0.3,0.1,,0.3,0.1911,0.018,0.1076,2021-01-24,Commercial Imaging,,,0,0
47490.0,2021-006CF,Flock 4s-39,Payload,5.0,Box + 2 Pan,0.1,0.3,0.1,,0.3,0.1911,0.018,0.1076,2021-01-24,Commercial Imaging,,,0,0
51037.0,2022-002BF,Flock 4x-10,Payload,5.0,Box + 2 Pan,0.1,0.3,0.1,,0.3,0.1911,0.018,0.1076,2022-01-18,Commercial Imaging,,,0,0
45402.0,2020-019AU,Starlink 1257,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2020-03-26,Commercial Communications,,,0,0
48005.0,2021-024AE,Starlink 2254,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2021-03-30,Commercial Communications,,,0,0
45730.0,2020-038A,Starlink 1516,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2020-06-16,Commercial Communications,,,0,0
46673.0,2020-073D,Starlink 1717,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2020-10-26,Commercial Communications,,,0,0
55697.0,2023-026C,Starlink 30040,Payload,730.0,Box + 2 Pan,4.1,0.3,2.7,,29.0,92.83994369451119,0.81,33.88386666666666,2023-03-01,Commercial Communications,,,0,0
53456.0,2022-098N,Jilin-1 Hongwai A02,Payload,42.0,Box + 2 Pan,1.0,1.5,1.0,,1.5,2.345207879911715,1.0,2.0,2022-08-10,Commercial Imaging,,,0,0
51041.0,2022-002BK,Flock 4x-31,Payload,5.0,Box + 2 Pan,0.1,0.3,0.1,,0.3,0.1911,0.018,0.1076,2022-01-18,Commercial Imaging,,,0,0
48677.0,2021-044AR,Starlink 2719,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2021-06-01,Commercial Communications,,,0,0
47456.0,2021-006AV,Flock 4s-21,Payload,5.0,Box + 2 Pan,0.1,0.3,0.1,,0.3,0.1911,0.018,0.1076,2021-01-24,Commercial Imaging,,,0,0
53990.0,2022-125AC,Starlink 5075,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2022-10-11,Commercial Communications,,,0,0
43155.0,2018-008A,Xiaoxiang-2,Payload,8.0,Box,0.2,0.3,0.2,,0.3,0.09380831519646861,0.04000000000000001,0.08,2018-01-19,Commercial Communications,,,0,0
47530.0,2021-006DW,Flock 4s-36,Payload,5.0,Box + 2 Pan,0.1,0.3,0.1,,0.3,0.1911,0.018,0.1076,2021-01-27,Commercial Imaging,,,0,0
56219.0,2023-054AT,LLITED B,Payload,2.0,Box,0.1,0.15,0.1,,0.15,0.023452078799117152,0.010000000000000002,0.02,2023-05-18,Defense Technology,,,0,0
55645.0,2023-021T,Starlink 5102,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2023-02-22,Commercial Communications,,,0,0
55672.0,2023-021AW,Starlink 5461,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2023-02-22,Commercial Communications,,,0,0
45714.0,2020-035BK,Starlink 1437,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2020-06-11,Commercial Communications,,,0,0
44938.0,2020-001AA,Starlink 1082,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2020-01-13,Commercial Communications,,,0,0
51018.0,2022-002AL,Flock 4x-42,Payload,5.0,Box + 2 Pan,0.1,0.3,0.1,,0.3,0.1911,0.018,0.1076,2022-01-18,Commercial Imaging,,,0,0
47542.0,2021-006EC,Flock 4s-25,Payload,5.0,Box + 2 Pan,0.1,0.3,0.1,,0.3,0.1911,0.018,0.1076,2021-02-01,Commercial Imaging,,,0,0
59483.0,1998-067WF,MicroOrbiter-1,Payload,1.0,Box,0.1,0.1,0.1,,0.1,0.017320508075688777,0.010000000000000002,0.015000000000000003,2024-04-12,Commercial Communications,,,0,0
49067.0,2021-073B,RADCUBE,Payload,4.0,Box,0.1,0.3,0.1,,0.3,0.04358898943540674,0.010000000000000002,0.035,2021-08-17,Amateur Science,,,0,0
52419.0,2022-047AB,MyRadar 1,Payload,0.25,Box,0.05,0.05,0.05,,0.05,0.004330127018922194,0.0025000000000000005,0.0037500000000000007,2022-05-10,Commercial Imaging,,,0,0
51016.0,2022-002AJ,Flock 4x-25,Payload,5.0,Box + 2 Pan,0.1,0.3,0.1,,0.3,0.1911,0.018,0.1076,2022-01-18,Commercial Imaging,,,0,0
57822.0,2023-138Q,Starlink 30417,Payload,730.0,Box + 2 Pan,4.1,0.3,2.7,,29.0,92.83994369451119,0.81,33.88386666666666,2023-09-13,Commercial Communications,,,0,0
31304.0,2007-015A,AIM,Payload,192.0,Cyl + 2 Pan,,1.4,,1.1,2.0,2.601868295658497,0.9503317777109126,1.9575457271541932,2007-04-25,Civil Science,,,0,0
45857.0,2020-042B,BY70-2,Payload,10.0,Box,0.11,0.27,0.11,,,0.04371029626987216,0.0121,0.035750000000000004,2020-07-03,Amateur Communications,,,0,0
47491.0,2021-006CG,Flock 4s-4,Payload,5.0,Box + 2 Pan,0.1,0.3,0.1,,0.3,0.1911,0.018,0.1076,2021-01-24,Commercial Imaging,,,0,0
47528.0,2021-006DU,Flock 4s-14,Payload,5.0,Box + 2 Pan,0.1,0.3,0.1,,0.3,0.1911,0.018,0.1076,2021-01-27,Commercial Imaging,,,0,0
47472.0,2021-006BM,Flock 4s-13,Payload,5.0,Box + 2 Pan,0.1,0.3,0.1,,0.3,0.1911,0.018,0.1076,2021-01-24,Commercial Imaging,,,0,0
54786.0,2022-175AE,Starlink 5438,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2022-12-27,Commercial Communications,,,0,0
44918.0,2020-001E,Starlink 1099,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2020-01-13,Commercial Communications,,,0,0
43197.0,2018-015F,GOMX-4A,Payload,8.0,Box,0.2,0.3,0.3,,0.3,0.12369316876852982,0.06,0.105,2018-02-02,Defense Imaging/Com,,,0,0
53378.0,2022-096J,KAI-1,Payload,5.0,Box,0.1,0.3,0.1,,0.3,0.04358898943540674,0.010000000000000002,0.035,2022-08-09,Amateur Technology,,,0,0
45667.0,2020-035L,Starlink 1450,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2020-06-11,Commercial Communications,,,0,0
48451.0,2021-040Z,Starlink 2652,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2021-05-18,Commercial Communications,,,0,0
45371.0,2020-019M,Starlink 1287,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2020-03-26,Commercial Communications,,,0,0
56187.0,2023-054K,ADLER-2,Payload,11.6,Box + 2 Pan,0.1,0.3,0.2,,0.8,0.12645848031961188,0.020000000000000004,0.07653333333333334,2023-04-18,Amateur Com/MetRO,,,0,0
45076.0,2020-006AJ,Starlink 1180,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2020-02-08,Commercial Communications,,,0,0
48480.0,2021-040BE,Starlink 2690,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2021-05-18,Commercial Communications,,,0,0
44943.0,2020-001AF,Starlink 1100,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2020-01-13,Commercial Communications,,,0,0
55700.0,2023-026F,Starlink 30064,Payload,730.0,Box + 2 Pan,4.1,0.3,2.7,,29.0,92.83994369451119,0.81,33.88386666666666,2023-03-01,Commercial Communications,,,0,0
46068.0,2020-055AT,Starlink 1532,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2020-08-13,Commercial Communications,,,0,0
